Placa,DPI,NuevoPropietario,Fecha
NEH-1537,7490253666341,Lina Azcona Tormo,2021-06-04
NFB-8926,2662306395406,Angelina Noguera Escolano,2020-12-30
NFB-8926,5931304328327,Jacinto Montes Bermudez,2021-11-29
NFB-8926,3623778104302,Belen Loreto Huerta Falcó,2024-03-28
HAC-8627,1339066466897,Bartolomé Mateo,2022-08-22
WQC-1112,7794793077198,Ariel de Cornejo,2024-07-01
HGX-2363,1761914247051,Alma Arco,2021-01-20
HGX-2363,4392563614308,Fátima Saldaña,2020-09-12
MAF-2988,7391865510516,Piedad Yaiza Cabo Pulido,2018-12-05
MAF-2988,3113318174037,Amando Martínez Torres,2023-01-26
TKQ-1034,3522860038897,Cándido Cristian Aguilar Albero,2018-03-12
TKQ-1034,7204911556768,Francisco Jose Adán,2021-07-23
KFV-6100,1147331070614,Cándida Armida Calderón Bustos,2016-07-16
WVX-8647,6697373909737,Ainoa Gertrudis Ocaña Pinedo,2020-12-06
JFH-7540,3794375823029,Ciríaco Dominguez Barón,2016-02-03
JFH-7540,6411863148483,Sebastian Bonet,2023-03-04
JFH-7540,3330755920448,Aurelio Adadia Lobo,2021-01-07
CLG-3610,9058827299566,Maura de Casas,2021-06-17
CLG-3610,9022786891119,Jorge Ferrándiz,2016-01-13
JRE-4092,8496754867817,Palmira Rosselló Quiroga,2017-02-16
UYJ-7057,5506288629906,Francisca Anunciación Cabezas Blanch,2021-03-22
UYJ-7057,4566714849808,Noemí Ayuso Castell,2022-12-16
YQL-1470,3428765406100,Cruz Bello-Fabregat,2019-09-02
HIF-2655,2772650167977,Débora Alfonso Requena,2017-07-15
HIF-2655,8677838694923,Yéssica Mayte Cases Giralt,2022-11-13
TVQ-9695,9729510796016,Virgilio Mayoral-Lastra,2015-10-10
TVQ-9695,4680733217357,Lilia Melero Paniagua,2020-08-26
TVQ-9695,6533572732947,Jesús de Caro,2022-05-27
FFP-7304,9687521764281,Florencio Claudio Prada Olivera,2019-03-17
WKI-2938,9544485653801,Dimas Sotelo Gordillo,2024-02-22
XHG-5520,5847691451952,Jordana Álamo Pardo,2016-10-26
XHG-5520,9572163221506,Máximo Correa Avilés,2017-05-20
FCG-3848,3550182656063,Eufemia Morillo,2017-09-29
FCG-3848,1674176284685,Begoña Blanco Almazán,2017-02-27
FCG-3848,5876158920251,Amarilis Leyre Benet Bastida,2017-09-10
IVX-3766,6950702598138,Sandalio Eutropio Luz Muñoz,2023-08-05
TTJ-9915,3706677910006,Leticia Jennifer Adadia Soria,2019-11-24
TTJ-9915,7818550707780,Cecilia Benavides Vilaplana,2016-02-05
TTJ-9915,9308109926898,Chelo Alcaraz Ríos,2018-10-29
WKS-2286,9941538631779,Reyna Pedrosa Gras,2024-07-05
WKS-2286,8074802661597,Anastasia Parra Carrera,2020-12-20
QUC-1244,1782724232322,Luisina Lopez Herrera,2016-12-31
QUC-1244,4613925474761,Daniela Roig Botella,2015-04-11
QUC-1244,8867483042831,Viviana Feijoo Segura,2023-05-12
JRE-6011,8030919333633,Primitivo Bosch Perez,2020-03-06
FNH-2341,1381506758953,Jonatan Sancho Marquez,2018-09-16
IEB-8362,5118038930798,Florentino Calderon Alcázar,2016-09-08
IEB-8362,3915388072772,Sergio Frutos Angulo,2021-10-30
RVN-2764,9937093830583,Constanza Chamorro-Madrigal,2017-08-18
SNA-6205,9926066071030,María Cristina de Ochoa,2019-08-11
SNA-6205,5675497219957,Evelia Manzano Medina,2015-03-03
NLD-5637,6975719717067,Mercedes Peña Pons,2020-06-13
WUP-2763,5642116113541,Melania Aroca Alsina,2016-02-11
WUP-2763,7919259718399,Herberto Vaquero Llorens,2019-03-04
TVA-4586,7771008624782,Felicia Adán Granados,2021-06-25
TVA-4586,5568979555529,Olivia Cerdán-Carbonell,2024-07-01
FPB-3181,4945964884276,Ruben Colom-Yuste,2021-03-12
LAC-4690,8664517847766,Aurora Guillen Cuadrado,2017-12-11
LAC-4690,4325665670740,Hipólito Font Fernandez,2019-11-24
LAC-4690,4848038718505,Carlos Bertrán-Lobato,2019-12-08
TIX-2283,7408560522418,Bienvenida Gárate,2021-07-22
TIX-2283,5152835391950,Cruz Suarez Abascal,2021-01-14
KZQ-8514,3017338009667,Luis Miguel de Nicolás,2021-10-14
KZQ-8514,9509136821565,Rita Zapata Ribas,2015-07-24
KZQ-8514,4690945661211,Edmundo Estevez Córdoba,2015-10-05
MSQ-9041,4764656190481,Mireia Bernad,2023-02-21
MSQ-9041,9826925703976,Albino Saez Querol,2017-07-17
VCZ-3523,5333451055914,Ligia Romeu Figuerola,2020-10-02
GVL-6235,8709050938157,Bartolomé Pazos,2016-12-14
GVL-6235,3929149838670,Ámbar Prats,2019-09-05
GVL-6235,7175083120874,Sigfrido Benjamín Viana Bou,2017-10-28
UXZ-7940,2506224388826,Ascensión Company Nieto,2017-10-20
UXZ-7940,1176805507818,Sarita Borrego Heras,2016-02-09
UXZ-7940,8675846073463,Casemiro Arteaga,2023-04-20
KGE-9036,5139947449263,Adriana Chico Alarcón,2015-07-26
TGV-9047,4393813954297,Fausto Fabra Galán,2016-11-13
TGV-9047,6675645794138,María José Cal Arco,2020-05-01
WLE-6608,6921692619851,Juanito Sanmartín Miralles,2016-06-29
WLE-6608,4757875634561,Jeremías Mendoza Iborra,2017-05-13
WLE-6608,6104085271917,Galo Fuster Yáñez,2022-04-14
NMC-6625,4568255740156,Nando Cuadrado Múgica,2023-01-19
NMC-6625,4276636297115,Florina Barrios Peralta,2023-01-01
DYF-3089,4154830355613,Julián de Urrutia,2019-03-21
DYF-3089,1102252697967,Faustino Viana-Naranjo,2021-06-09
DYF-3089,7039333517487,Gilberto Zorrilla,2023-03-18
ZPL-5119,7232475246413,Calixta Benito Mayoral,2020-11-14
ZPL-5119,3887581412771,Maribel Rincón Gascón,2021-06-08
TQE-9697,6571000338732,Esteban Mayol Malo,2023-08-30
TQE-9697,2287978251469,José Bru Prado,2024-08-08
TQE-9697,9363268774674,Daniela Benito,2017-07-17
JEV-3204,4158875245906,Pacífica Abella Gual,2015-12-27
YMK-1553,2728340682955,Lara Manso Luís,2023-11-08
MHP-6745,5820796076467,Gala Murillo Valderrama,2018-04-12
KRM-0143,3073518059242,Anna Rosales-Puerta,2017-01-20
DRT-3706,4291914725085,Adelardo Benito Castilla Valdés,2017-01-05
DRT-3706,3286828030328,Ibán Ernesto Figuerola Quirós,2015-04-07
DYZ-4253,5331069299572,María Julián Quiroga,2015-11-10
DYZ-4253,6115464979251,Juana Pizarro Quero,2015-02-04
DYZ-4253,7612446077350,Rogelio Girón-Vallés,2020-02-09
ONH-0276,5944443070031,Mariana Egea Angulo,2020-04-28
ONH-0276,3667158109922,Elvira Gárate Caro,2017-11-22
XWI-9577,4560223448348,Reyes Blanes-Maldonado,2016-08-01
BBH-8638,8730140090393,Ignacia Pinto Iñiguez,2016-02-14
BBH-8638,4712658279314,Leandra Terrón Ariza,2015-10-27
BBH-8638,2334623244058,Sigfrido Infante-Mateu,2020-12-31
BVF-0995,4520253364703,Bernardita María Belén Reig Rovira,2022-06-01
PXK-6517,1450092209575,Efraín Iriarte Arias,2016-10-17
NBK-9982,4691101999967,Vicente Cañellas Salvador,2018-05-17
RRZ-0387,7688410147838,Roque Mora Landa,2017-08-13
RRZ-0387,6387818774114,Jerónimo Pujadas Arteaga,2021-12-09
XUR-8639,5749702908632,Toni Tudela-Losada,2016-02-05
NWA-0657,3884588840968,Sancho de Izaguirre,2022-07-05
NWA-0657,9360921141942,Isidro Blanco Ponce,2024-06-10
GXE-4279,5199391498826,Bibiana Anglada Moll,2020-10-26
GXE-4279,5332780762435,Edelmiro Pino Hernandez,2015-01-03
YES-8200,5993869925014,Angelita Saez-Cabezas,2021-07-14
YES-8200,4264769030341,Rosario Sevilla Daza,2022-11-24
YES-8200,7729329013032,Soledad Gálvez Moraleda,2016-01-03
JFN-6589,3308943102594,Marco Quesada Viana,2020-04-28
DFR-6820,6808311637216,Rico Castellanos Sánchez,2024-12-23
DFR-6820,3618252887187,Hernando Garrido Porta,2024-12-18
DFR-6820,1783064705006,María Dolores Ballesteros Hidalgo,2024-07-05
ZOF-0499,4730362965670,Renata Canales Ibañez,2022-01-30
ZOF-0499,5765240225312,Isabela Nicolás-Acosta,2020-06-30
NKC-0375,8466293809021,Candelas Canals Barriga,2023-05-22
NKC-0375,8902449002279,Mateo Luján Alegria,2016-05-18
NKC-0375,9974624256886,Fabiola de Valle,2024-06-06
BSG-9549,6834991756317,Esther Cortes Azorin,2022-06-17
TWE-9569,1680282468946,Bernardita Almansa Infante,2018-04-19
TWE-9569,7537516626661,Rafaela Palacios Soriano,2017-04-11
TWE-9569,8630088936306,Ildefonso Sarmiento Gil,2016-07-22
PCO-5612,6511717907318,Fabiola Piñol Arjona,2024-08-09
CLN-0986,2279100339678,Araceli Arias Peñas,2020-03-15
CLN-0986,3402019132658,Ramón Solana Tormo,2020-12-13
LZM-2415,8316544276198,Leocadio Girona Frutos,2023-06-28
ARC-2419,6670109823917,Elisa Vall,2020-02-21
ARC-2419,9862129467721,Humberto Mayo Haro,2023-02-21
ARC-2419,1182294028177,Dafne Duran Riquelme,2017-11-10
DAK-1496,1876761549218,Rodrigo Borja Pujadas,2017-05-22
DAK-1496,8205391754169,Lupita Solano Arnaiz,2022-10-27
NRL-3032,6134347370757,Óscar Lobo Vigil,2020-07-23
DFH-5120,3449990268697,Marisa Guardiola Abril,2024-07-23
GUG-8627,7529607956120,Toño de Ramis,2019-08-24
GUG-8627,8211578962187,Claudio Peinado Rojas,2018-11-14
GUG-8627,7026278193749,Blas Noguera,2019-07-24
VFK-7048,3420453465456,Hector Lorenzo Villena,2017-05-03
VFK-7048,4801373553921,Teófila de Alcolea,2018-04-19
CKI-6591,4767984983614,Guadalupe Roldan Sanz,2020-09-16
MJH-5117,5113927333507,Amparo Falcón Alemán,2019-10-29
MJH-5117,8780138545857,Abigaíl Acosta Izquierdo,2018-12-20
MJH-5117,3486266278004,Adelia Montserrat Crespo,2024-02-12
CWP-9131,8356865242902,Narcisa Viña Gallardo,2016-10-06
CWP-9131,4792718743453,Leocadio Andrade Gómez,2016-03-12
CWP-9131,7680593633112,Ester Amorós Salazar,2015-01-22
VGC-5447,8850098369133,Isa del Pozo,2023-06-14
JKM-0545,6130433031085,Edelmira Crescencia Manjón Miguel,2020-01-30
JKM-0545,2791779360623,Anunciación Bustos Mas,2020-08-04
JKM-0545,4790213172892,Bárbara Simó Bayón,2022-05-28
NAR-0781,3593683587053,Lino Gaya Alcalde,2019-04-16
LQA-2025,6770879265992,Aura Barrios-Sanabria,2022-04-05
YCL-3113,8991225416279,Arsenio Asenjo Rivas,2023-10-21
YCL-3113,9468101890494,Azahara Alcántara Francisco,2015-04-15
RUY-5867,7462173652066,Saturnino Barba,2021-04-14
RUY-5867,6840043032165,Marcia Montserrat,2016-02-09
WNX-5888,5857446328590,Dalila de Farré,2018-02-08
WNX-5888,5041958318674,Blas Neira Morán,2022-03-03
WNX-5888,9802787330958,Lara Vergara,2015-12-12
LZR-4293,2858238385131,Sergio Mosquera Fiol,2021-03-27
LZR-4293,3910193555689,Román Miró Ortega,2016-12-14
QEU-4584,1759300984596,Custodio Tudela Zamora,2019-06-21
OVE-8696,9166000952124,Feliciana Planas Benitez,2017-07-24
WYX-0976,5886705604483,Alberto Esteve Patiño,2021-02-15
WYX-0976,9932308393217,Eleuterio Castelló,2021-11-14
OAB-2374,7557860685175,Feliciana Noriega-Sedano,2023-05-09
OAB-2374,7329063575059,Eloísa Evita Llorente Estrada,2019-10-22
OAB-2374,3816951884676,Florentino Cano Melero,2021-04-23
VLU-1953,3984781784706,Ángeles Cámara Alcalá,2023-06-19
VLU-1953,7452406461639,Blanca Lorena Ródenas Bonet,2022-11-07
UUL-8854,6550698994988,Joaquín Bas Monreal,2019-07-28
UUL-8854,4601696574301,Salomón Planas Zapata,2015-05-21
UUL-8854,8133128248174,Roque Paniagua Sevilla,2017-07-30
XXP-9116,6863569822907,Cloe Castilla-Goñi,2019-12-09
XXP-9116,9180355474308,Sarita Santana Pardo,2020-11-15
XXP-9116,5370276625893,Primitivo Puga Talavera,2022-09-05
CJN-4498,9233347237600,África Collado Berrocal,2024-04-12
CJN-4498,8773815372837,Javiera Benavides Barbero,2022-06-09
CJN-4498,9215971675610,Chema Pina-Bellido,2019-10-23
MLD-9913,3623641136750,Gema Noguera Ortega,2017-11-15
YER-4471,7862083697734,Paca del Saura,2022-02-08
YER-4471,4253527417125,Felipa del Alcalá,2015-07-04
YER-4471,3799086443561,Macario Heras Riquelme,2018-08-19
CVO-9663,8698516197896,Cebrián Verdugo Royo,2023-03-26
ENL-7922,5025317426593,Irene Espejo Guijarro,2016-07-31
ENL-7922,3830394052778,Alfonso Roman Tenorio,2019-11-22
ENL-7922,3193799114214,Ricarda Montalbán Madrigal,2018-09-07
GWM-5753,3456233823169,Máximo Serrano Ropero,2017-07-25
GWM-5753,5097118490398,Roldán Zaragoza Montenegro,2017-08-24
DZU-0638,3902732934250,Laura Guerrero Ochoa,2016-11-15
DZU-0638,5810353887687,Ruy Montenegro Muro,2015-12-28
DZU-0638,3877306730332,Rodolfo Iniesta Lillo,2022-07-31
HUL-2813,6442458257672,Alfonso Herrera Marco,2016-01-12
HUL-2813,5291885857074,Efraín de Orozco,2019-01-21
EKC-5468,2144353307860,Fausto Riquelme Rodrigo,2023-09-18
LKT-3181,8005017243102,Sigfrido Guerra Lledó,2016-12-28
LKT-3181,2309867521580,Jafet Cueto Galán,2018-02-10
LKT-3181,9984593410422,María Carmen Jerez Carreño,2023-04-03
WNS-7980,8528529649231,Edelmiro Múgica Echevarría,2024-01-12
WNS-7980,7656475952750,Alberto de Pascual,2016-02-23
RVH-6023,1922390703297,Maximiano de Lerma,2024-12-31
RVH-6023,7672270483425,Felicia María José Botella Uría,2015-06-04
DBY-8811,2626878298112,Carmina Fiol Marqués,2015-01-23
DBY-8811,5113844235301,Fabio Quiroga-Gonzalo,2022-09-15
DBY-8811,7766669149331,Florencia Páez,2017-02-27
FKS-9020,2400224085156,Jerónimo Campoy Moraleda,2019-03-24
FKS-9020,5956453504796,Jose Carlos Dávila-Segura,2022-09-18
FKS-9020,8375114615501,Wálter Garcés Duque,2023-08-24
YWS-6441,1092956464504,Arturo Monreal Santos,2023-07-28
YWS-6441,3796734812510,Pascuala Agudo Huguet,2021-07-14
LCH-3576,2786958865887,Iris Alcalá Alsina,2019-12-28
LCH-3576,1516063820749,Abel Fiol Macias,2023-08-07
LCH-3576,3357339769474,Iker Román Torrent,2020-06-13
ITA-3286,3012686367838,Genoveva Ponce Ramón,2016-03-26
ITA-3286,2951521756986,Néstor Gil Bernat,2018-04-03
ITA-3286,9403128934066,Tania Ferrera Jerez,2020-07-31
BOY-1209,9884390457013,Porfirio Sotelo Almansa,2021-03-06
PNL-4000,1045895217431,Ruy Guerra Bas,2018-08-31
PNL-4000,3217463575423,Cayetana Agullo Criado,2017-04-20
PNL-4000,2374741635158,Hernando Benjamín Anglada Chaparro,2022-08-14
NSY-5606,1235912768123,Emiliana Viña Echevarría,2016-07-25
CLY-3939,5491694278811,Carmela Santiago,2016-06-30
CLY-3939,2624202500012,Marcio Alsina Torrens,2020-02-23
CLY-3939,4819737290807,Dora Bayón Quintanilla,2018-03-06
TQC-1801,3561106823258,Adela de Machado,2019-04-09
TQC-1801,8462948434271,Evelia Cuéllar Gras,2018-03-08
TQC-1801,4875381903484,Coral Isabel Rodrigo Asensio,2017-10-02
KEV-1315,5995408175749,Carlos Blazquez Menéndez,2016-02-23
KEV-1315,3138348260447,Brígida Malena Miguel Alberto,2021-03-08
PVZ-2578,8096990692719,Manolo Hernández Nogués,2017-07-09
PVZ-2578,9994831312721,Rosaura del Gil,2019-07-06
SHL-4775,2523900438370,Graciela Landa Cáceres,2019-10-16
SHL-4775,6313143142711,Luis Ángel Llorente Gil,2020-05-20
NCA-6521,6850220597474,Dorotea Goicoechea Marín,2017-08-14
TLI-7348,8623902976705,Lino Crespo Cánovas,2021-11-16
TLI-7348,2701900027451,Cristina Zoraida Luís Valencia,2019-07-19
TLI-7348,5251945288947,Alberto Ángel Cuadrado Barba,2019-06-17
KQE-5585,5741768667571,Flavia Flores,2017-04-14
EAL-3373,5296078218044,Natalia Salinas-Vera,2017-07-24
FKY-7363,2571912361220,Manola Dafne Goicoechea Buendía,2019-05-09
FKY-7363,3708913534346,José Manuel Campos-Marcos,2022-09-13
FKY-7363,6796373099470,Saturnina del Bosch,2024-05-19
GZR-4132,1670242216155,Patricia Anna Díaz Sotelo,2018-10-07
GZR-4132,8076302381618,Brígida Bosch Villalonga,2015-11-12
GZR-4132,4747143668612,Iker Vendrell Agustí,2021-06-30
DVY-7494,6337148752816,Modesto Folch Arjona,2020-09-12
DVY-7494,2308311584598,Caridad Alcázar,2015-12-06
BBE-0496,7971377639433,Amalia Palomares Rebollo,2016-10-06
MCW-7839,7021376549118,Elpidio Herrero Barón,2016-02-14
MCW-7839,8385017484497,Fabiola de Gras,2024-02-06
MCW-7839,9076487002616,Jose Antonio Marti Calvet,2017-08-30
YEP-6783,3575055399393,Fabián Roma Gelabert,2018-06-03
YEP-6783,3379548366777,Cecilia Sobrino Nevado,2023-06-19
YEP-6783,9038862950117,Fortunato Campillo Cañizares,2024-09-24
TQJ-8674,9799141812506,Ligia González-Torrents,2015-01-27
ETC-4886,2908391228706,Amílcar Mercader Ferrera,2017-12-27
OMK-0233,2679459170751,Margarita Octavia Peralta Aragón,2019-07-16
IEN-0874,9331626613258,Victoria Peñas Falcó,2018-06-22
IEN-0874,5312912205761,Malena Vilar Marquez,2022-07-05
IEN-0874,9178112111495,Guadalupe Barbero Nuñez,2023-09-19
QVO-7003,7319581427022,Baltasar Francisco-Domínguez,2016-07-27
QVO-7003,6563252535453,Eufemia Antón Murcia,2022-12-19
CLE-9805,3482185044160,Trini Pera Seco,2020-09-13
SZL-9203,3384409608477,Alex del Santana,2015-03-19
SZL-9203,1785271681638,María Dolores Tudela Díaz,2022-09-22
ARW-6362,7411442533407,Eric del Mendez,2020-07-17
ESG-6532,4229891334980,Azahara Ferrán Vázquez,2016-02-17
EDX-2716,7777783174844,Delfina del Bejarano,2020-05-10
EDX-2716,5146716724596,Custodia del Ureña,2023-02-01
EDX-2716,8699949918370,Úrsula del Zabala,2019-09-15
ASZ-9318,7845059263705,Santiago Cortés,2018-07-17
DSW-5321,2560582281430,Valeria de Trujillo,2018-07-30
XHP-6967,6747517556249,Emiliano Quero-Maestre,2016-07-01
XHP-6967,9658255509006,Apolonia Feijoo Morillo,2022-05-12
LQX-3486,2017001178928,Américo Puerta-González,2015-08-25
LQX-3486,1974157361534,Fortunata Avilés Pons,2023-10-04
XJA-6668,8867588365232,Victorino del Benitez,2023-08-01
XJA-6668,2920804891812,Iris Encarnita Saura Carreras,2019-11-26
XJA-6668,9211409031369,Ariadna de Cornejo,2020-04-18
LWY-1846,9899655330583,Francisca Duarte Cases,2021-11-30
LWY-1846,2262196044751,Anunciación Juan Huertas,2020-03-29
LWY-1846,9440411324886,Samuel Fidel Andrade Jimenez,2024-11-30
OYB-2435,6129981706216,Evangelina Carnero Salas,2015-08-18
FTG-5726,6688366351839,Gerardo Lobato,2021-12-02
FTG-5726,8162725861860,Balduino Tirado Pons,2021-11-22
SUN-5701,1727628438867,Amaro Loreto Vicens Arias,2016-09-08
REI-1892,5406146028429,Edgardo Adán Donaire,2021-06-16
HKW-1679,7852899235921,Mayte Sanmiguel,2023-04-28
XMM-6787,8951625748681,Paca Exposito Sacristán,2021-06-04
BOM-7539,8329575258702,Augusto Báez Valero,2019-12-25
BOM-7539,8191577772598,Gertrudis de Roldan,2019-05-03
BOM-7539,2953422047114,Manu Corral,2022-05-31
ZSN-0059,5268560644387,Jose Miguel Coll Riera,2023-01-18
ZSN-0059,2930503750740,Loreto Andrade Pla,2024-07-13
NZX-4581,8899494650402,Paloma Lillo-Alcántara,2022-05-30
NZX-4581,2433193251104,Paola Valderrama Suarez,2015-12-10
NZX-4581,1750861229294,Leandro Yáñez Grande,2015-03-14
LKB-0723,7299117629742,Concha Llano-Anguita,2018-10-14
LKB-0723,8224141869074,Haydée Lozano,2017-05-16
LKB-0723,7371808952248,Andrés Felipe Hernandez Torrents,2018-03-01
VWA-4930,2268925408618,Bonifacio Tamayo,2021-06-20
VWA-4930,9475208822355,Vicenta Nuria Mariño Juliá,2019-06-24
VWA-4930,6682069665619,Fernanda Cantero Escamilla,2017-03-11
CVZ-2660,3411826472789,Luciana Dueñas Cabello,2022-03-05
CVZ-2660,4121049227527,Luz Taboada Sanmiguel,2022-10-11
PPK-4093,9080685841469,Serafina Prado Casado,2018-12-24
MIE-4160,8248008303480,Merche Cervantes Cardona,2023-06-06
UJP-8044,3655601902799,Nilo Salom Cortés,2023-06-28
UJP-8044,1245547990422,Natividad Pedrero Marqués,2020-08-19
FMK-4284,8223455023846,Guiomar del Alonso,2024-11-03
FMK-4284,6693896535285,Fidel Mancebo Castro,2020-08-04
YOR-2671,5680624887521,Josefina Marí,2017-02-16
YOR-2671,1370431155686,Valeria Landa Blanch,2019-07-03
TYR-2418,3870830476610,Bernarda Palomar Miralles,2021-09-18
TYR-2418,5741826321656,Rosalía del Tenorio,2015-12-08
SBJ-6880,7118497901939,Ema Artigas-Frutos,2015-09-03
SBJ-6880,9890124480133,Lorenzo del Carreño,2024-08-01
SBJ-6880,8070860630081,Teresita Acevedo Moreno,2024-12-19
QOK-5796,8032579898821,Angelina Vera Boada,2020-02-25
QOK-5796,1568846789061,Duilio del Gracia,2017-02-20
QOK-5796,6976440388982,Benito Reig Carrillo,2021-09-19
LFU-7126,7271905152656,Dominga Barranco Murcia,2021-07-13
LFU-7126,5554948338045,Hugo Patiño Ballesteros,2018-10-07
JPB-4771,2334871926660,Benita Mulet,2015-10-07
MWX-2329,6121876468651,Bibiana de Elías,2022-06-03
AIH-9926,1640401549828,Eli Ropero Vélez,2017-12-20
AIH-9926,1604179567970,Rafa Cobo Terrón,2021-11-05
AIH-9926,1770627886448,Ariel Aragonés-Cifuentes,2024-01-02
SRW-7309,6378729838154,Elba Escudero Cortina,2021-11-29
