Placa,DPI,Nombre,Marca,Modelo,Año,Multas,Traspasos
DNR-6730,7877359754503,Omar Ulises Osuna Baró,Honda,CR-V,2022,2,1
BZN-1799,4219149910987,Corona Benito,Hyundai,Elantra,2022,0,0
PXS-8109,8597103552969,Gervasio Blázquez,Honda,Fit,2006,1,0
DVR-4636,5429211134622,Fabio del Verdú,Honda,Accord,2008,4,0
RCX-3018,6725022059078,Julián Pera Carballo,Kia,Sportage,2003,2,3
AOP-9965,7784370250067,Quirino Valverde Escribano,Toyota,Yaris,2023,2,2
MCR-8564,6286189506485,Guadalupe Aureliano Luna Quintero,Toyota,RAV4,2002,2,1
MAD-0420,8904982942935,Encarnación Gámez-Alegre,Toyota,Yaris,1998,5,2
PLS-8055,7705270729154,Rosalinda Ruano,Kia,Rio,2020,3,3
DJG-3764,4347658312588,Isabela Beltrán,Honda,CR-V,2006,0,1
IFH-0638,3866042435525,Germán Santiago,Hyundai,Tucson,2008,4,2
NVA-1570,1113487380254,Gerónimo Doménech Abril,Kia,Rio,2009,4,3
ZOX-6079,6408963725410,Luís Castañeda,Hyundai,Santa Fe,2015,1,0
SMV-2306,7743409987019,Nacho Millán,Hyundai,Tucson,2012,4,2
RWF-0142,9872543181579,Roxana del Castillo,Honda,CR-V,2018,0,0
JEE-0354,8262545663865,Encarnacion Palma,Hyundai,Elantra,1999,3,2
QTC-3294,1382429100847,Eligio Venceslás Maza Luján,Hyundai,Tucson,2013,1,0
NYC-8750,4705970375845,Luciano Bello Silva,Kia,Sportage,2017,3,0
IUT-1577,8109204055743,Onofre Marco Juan,Mazda,BT-50,2017,1,2
RIH-5226,9166637032877,Toribio Ribes,Toyota,Yaris,2019,3,0
MCO-7990,1191375635442,Hipólito Izquierdo Domínguez,Kia,Rio,2015,2,3
KJD-1148,2861843547906,Anacleto Jose Angel Cervantes Sanmiguel,Kia,Rio,1998,1,2
TLL-4812,2249786436284,Natividad Alemany,Toyota,RAV4,2003,4,2
DKU-0826,8016666088627,Delfina Moles Doménech,Kia,Sorento,2002,1,0
LBD-5534,9230544664924,Berto Corbacho Santana,Toyota,Yaris,2009,3,3
XWM-0426,4200695243087,Adelina Pombo Flor,Honda,Accord,2014,2,2
RVJ-5436,8093481721792,Lucio Pellicer Puig,Mazda,BT-50,2023,2,1
JQR-4250,2932654252381,Samuel Nando Angulo Calvet,Mazda,BT-50,1998,4,3
ITG-4601,6385068747372,Mariana Roldan Sureda,Kia,Picanto,2019,0,2
QBH-0603,9443498045290,Aníbal Rojas Porras,Hyundai,Tucson,1995,1,3
HHT-9318,7363841635032,Candelario Alegre Tovar,Toyota,Hilux,2016,0,1
GSA-3044,3155450654966,Magdalena del Collado,Kia,Sportage,2001,2,1
GOK-0516,8925853359396,José Luis Jódar-Peinado,Mazda,BT-50,2022,2,0
RWW-3212,9670976592991,Edelmira del Sureda,Kia,Sorento,2000,3,1
VAK-0689,8464530767692,Gaspar Ruano Calvet,Hyundai,Tucson,2019,3,2
TEP-6290,9620537104729,Reinaldo de Gomis,Hyundai,Elantra,1996,3,0
PQW-3956,5374114219661,Valentina Bayón Fonseca,Kia,Sorento,2007,0,3
WKZ-0176,8643860623287,Adela Gilabert,Mazda,BT-50,1995,0,0
YTU-5130,6273673250570,Leoncio Domingo,Hyundai,Accent,2012,5,1
XNU-7743,1164952509411,Nico del Vall,Toyota,RAV4,2006,2,1
STG-7879,3819432579277,Juan Antonio Juliá Flor,Mazda,CX-5,2023,1,0
GBT-2955,6233081737843,Curro Anguita Zabaleta,Mazda,CX-5,1996,5,3
ULT-1981,1269477171447,Arsenio Cosme Solano Piñol,Hyundai,Tucson,2015,0,3
NLU-4296,2487025123012,Alejo Lillo-Echeverría,Mazda,6,2013,3,0
IXA-9054,7660534752858,Reinaldo Heras Mendoza,Hyundai,Elantra,2003,3,1
YEN-7363,8321015638983,Reyes Mascaró Barrios,Kia,Rio,2020,4,1
DBR-5466,4595642552184,Manu Cabello Alcázar,Hyundai,Elantra,2009,2,0
ORJ-5028,8647033234992,Hipólito Vilanova Vargas,Toyota,Yaris,2009,1,2
PGO-2846,1186479047768,Charo Blanca Torre,Hyundai,Accent,2007,5,2
ESJ-5258,8132980471848,Benigna Fuente Conesa,Mazda,6,2018,3,2
RAS-4208,7969555329750,Esteban Faustino Menendez Torrijos,Kia,Rio,1999,0,3
TKD-5319,5069426337083,David Cobos Fiol,Honda,Accord,2024,1,0
YWW-9018,1992621227769,Dan Julio Caballero Ropero,Toyota,Yaris,2022,3,1
AWX-7208,6296599111029,Germán de Vendrell,Honda,Fit,2022,0,0
IAE-6101,5309678757162,Estela Gallo Cueto,Toyota,Hilux,2015,3,2
ZWG-8494,7555331994399,Flavio Almagro Cerro,Toyota,RAV4,2014,2,2
YKZ-0143,4550737573489,Dionisio Silvestre Pazos Herrero,Honda,Civic,2016,5,1
VSL-2026,3873907471360,Mar Sans Mas,Hyundai,Accent,2024,1,1
YHT-1820,6106111198322,Buenaventura Domínguez Macias,Honda,Fit,2021,2,1
QFZ-0202,9600650103710,Martirio Amigó Tomas,Honda,Civic,2004,0,1
SWC-1085,8692737095720,Juan Manuel Campo-Ricart,Kia,Sorento,2023,3,2
PYN-2341,5932018950813,Clotilde Barrera Alberola,Hyundai,Santa Fe,2006,3,2
IFK-8604,5810927002120,Bernardino Alba Andrade,Kia,Sportage,1998,2,2
ALB-3040,7089629141390,Nacho Rico Azcona Benitez,Honda,Accord,2014,4,3
FIC-6611,5663193181508,Francisco Jose Porras Mendoza,Toyota,RAV4,2007,4,0
FJJ-5980,6123527918168,Rita Quiroga Redondo,Kia,Sorento,2023,3,1
RWX-6537,1078038275634,Brunilda del Vicens,Honda,Civic,2005,1,2
RFY-6115,4052635781010,María Ángeles de Donoso,Kia,Picanto,2003,1,3
KFX-2523,4652915260017,Poncio Piñeiro Segura,Mazda,BT-50,2005,1,2
ZHS-9373,4228232756121,Dimas Millán Casal,Honda,Civic,2008,3,1
QDJ-4639,3598072171003,Liliana Velasco Echeverría,Honda,Accord,2014,2,2
JSJ-3645,9218031694960,Genoveva Salmerón Juan,Hyundai,Elantra,2011,0,2
ODP-1680,1518587609723,Juan Bautista Ciro Baquero Espejo,Mazda,6,2013,0,1
TFS-5927,4376268129899,Apolinar Eloy Peña Quesada,Kia,Sportage,2011,2,2
CWZ-8885,4356674054243,Maristela Moles-Zapata,Honda,Accord,1996,3,2
DBH-1398,6180521338852,Cosme del Rubio,Hyundai,Accent,2012,0,0
YMX-4245,7328070791899,Viviana Vazquez Calvet,Honda,Fit,2005,0,1
FCF-8745,5045923827635,Adelardo Gibert,Kia,Sorento,1997,1,2
MKC-9211,4714064513635,Alexandra del Pardo,Honda,Civic,2010,4,0
CVF-4074,4458077615047,Laura de Izaguirre,Honda,Fit,2016,5,0
NIH-3269,5738714420782,Victor Vallés Ordóñez,Hyundai,Tucson,2015,4,0
HHK-7585,6912848923669,Gonzalo del Roda,Hyundai,Accent,2024,5,1
CDB-6044,2699555199029,Pastora Mendez Chamorro,Toyota,Hilux,2010,0,2
LBK-7607,2934327595485,Nico Plana Arranz,Mazda,BT-50,2011,2,2
HOI-3925,9793387484226,Jesús Casares-Conesa,Mazda,3,2019,2,1
TID-1690,9089522428189,Pacífica Gomis Madrid,Toyota,Yaris,1995,4,0
NOI-2538,3024139923845,Jose Angel Samu Calleja Cal,Mazda,CX-5,2009,0,0
OBN-4081,3407501238077,Casemiro Meléndez,Honda,CR-V,2008,5,0
BTI-5127,7001404506072,Heraclio Folch,Mazda,BT-50,2010,3,2
NKW-5037,9949142337394,Estela Guerrero Gallart,Kia,Sorento,2004,5,2
FAO-2899,5758636736878,Mónica Benavent Albero,Mazda,3,2005,0,2
QUE-8026,4172648527971,Cristóbal Clemente Navarro,Hyundai,Accent,2018,1,0
OPD-1248,8785309756591,Horacio Cantón Villalonga,Honda,Civic,2018,2,3
QBI-2727,6746337048541,Amarilis Dominga Barco Miró,Honda,Civic,2019,4,3
CPM-9807,9151058634336,Carmela Mir Fernández,Hyundai,Elantra,2021,0,0
USH-8127,6541255541689,Aureliano Bautista Rosselló,Honda,CR-V,2001,1,2
EVX-0028,4441032445503,Javier Barbero-Cobo,Honda,Civic,2011,2,0
WXO-1169,2184473905012,Saturnina Atienza-Puerta,Kia,Picanto,2013,3,2
LXF-2652,9492032928253,Donato Molina Oliva,Kia,Picanto,2015,1,3
WMR-1568,8054154190721,Juan Haro-Silva,Toyota,RAV4,2012,5,3
IVS-9344,2352218046748,Dimas Sanjuan Botella,Hyundai,Tucson,2005,1,3
IHD-8535,5140018258233,Kike Sevilla Tomás,Mazda,3,2000,2,0
ACR-4163,6721539277677,Nidia Seguí Redondo,Hyundai,Santa Fe,2007,3,2
JVT-5652,9381935285063,Angelita Arévalo Córdoba,Toyota,Yaris,1995,4,2
IOD-8080,3209844596803,Fermín Guijarro Cantero,Kia,Sorento,1998,3,2
GYH-2876,2394854736310,Seve Fulgencio Almagro Cárdenas,Honda,Civic,2021,3,0
DDF-4305,8718472108573,Ruth de Díez,Mazda,CX-5,2000,2,2
WUK-0046,3686393036416,Samu Portillo Luís,Mazda,BT-50,2009,1,1
EXU-1765,5613321825797,Merche Gloria Ramis Falcón,Kia,Picanto,1996,4,0
FTT-0540,1142473159450,Brígida Orozco Barón,Honda,Fit,2005,1,1
CUT-8781,4988528460649,Juan Pablo Roselló Batlle,Honda,Civic,2004,3,2
DKJ-1099,7491003335319,María Dolores Carreras Gutierrez,Kia,Rio,2001,0,1
LUY-2762,4524242100715,Marcio de Fernández,Mazda,3,2012,2,2
CHR-6990,6907208250579,Borja Ripoll Corbacho,Mazda,3,2010,0,1
XYK-0503,7081868119401,Aroa Carbajo Santiago,Kia,Rio,2019,1,1
GRJ-9865,4454879897933,Roque Maldonado-Giménez,Honda,Accord,1998,4,0
WRY-2727,2954580826663,Régulo Tapia Garcia,Kia,Sportage,2017,5,0
LBY-8714,2717970974796,Carlito Zabala-Belda,Honda,Fit,2020,4,3
LFD-6279,2925596360771,Cándida Barberá Godoy,Toyota,Corolla,2004,2,3
IWG-5268,6858686505177,María Pilar Cervantes,Toyota,RAV4,1998,1,3
LDD-1992,6511024756254,David Sancho Hernandez,Mazda,3,2020,0,0
ZVO-7851,3798439398940,Íngrid Buendía Quero,Hyundai,Santa Fe,1998,0,3
ISY-2565,5854443268767,Cayetana Miguel Iglesias,Honda,Accord,2014,2,3
PXD-9628,7286055441466,Raimundo Villa-Parejo,Toyota,RAV4,2014,2,1
JIZ-1677,6144079554761,Olegario Anguita,Toyota,Corolla,2017,3,2
XWF-7060,7569715834946,Salomón Zaragoza Portillo,Honda,Civic,2009,0,3
HFM-0972,3506248037846,Jovita Prieto,Toyota,Hilux,2016,4,0
YPE-7388,6056981688421,Marcia Chamorro,Kia,Rio,2004,5,1
SLA-7420,6306678165059,Tadeo Feijoo Elorza,Kia,Sportage,1998,1,0
NNR-3313,1377112206166,Carlos Arenas Mateu,Honda,Civic,2023,4,0
WTL-7280,3263494898522,Epifanio Samuel Angulo Tejada,Mazda,CX-5,2007,3,2
TTK-9984,2372624878084,Máximo Hidalgo Llamas,Toyota,RAV4,1995,2,2
TLI-2340,9749934884660,Jose Carlos del Gimeno,Mazda,3,1997,2,3
XTS-6111,3115962386620,Armida Calderón Solé,Honda,Accord,2000,5,0
NGG-6139,5613757341114,Ainoa Alcalde Royo,Kia,Sorento,1999,3,0
SRY-9857,9154434788110,Eliana Nydia Mercader Martorell,Hyundai,Santa Fe,2022,2,1
ZKR-2934,2635756949346,Teresita Millán Bastida,Mazda,BT-50,2023,5,0
MJY-1849,1762177507049,Matías Ríos,Honda,Civic,2022,0,1
OBE-9750,6043592361597,Raquel Parejo,Kia,Rio,2022,4,1
HOD-3018,6846202441894,Emilio Castrillo,Honda,Accord,2008,0,1
IFH-1975,2721626564544,Felipa Corral Mendez,Mazda,6,2019,3,0
MKX-4206,6080729845081,Gerónimo Solsona,Toyota,Yaris,2019,1,0
BBR-9876,6512874249523,Adoración Sáenz,Kia,Sorento,2002,5,1
NZE-9787,5393421762837,Lina Calzada-Luís,Toyota,Yaris,2001,0,2
SFQ-8454,9628163809395,Benigno Aznar Montalbán,Honda,Accord,1997,0,3
JCF-4504,5309144335959,Paca Uriarte Tomé,Hyundai,Tucson,1998,5,2
QFM-7686,5660311372750,Felix del Guijarro,Hyundai,Santa Fe,2009,1,2
JLY-3066,2483346472334,Bernarda Castrillo,Kia,Sorento,2022,5,2
UID-6541,8200953981779,Óscar Arana-Fajardo,Kia,Sportage,2016,5,3
OHL-5468,8896683959719,Martín Rovira Adadia,Honda,CR-V,2010,1,3
KQK-7621,6766986967602,Josefina Fernandez Jiménez,Kia,Sportage,2020,4,3
JLB-3206,8770697830925,Guiomar Vilaplana Tejedor,Hyundai,Tucson,2018,0,3
EBP-6812,5959440136355,Rosario Bonilla Marin,Mazda,6,2020,2,2
ZSK-7523,1134122811631,Abril Coello Álvaro,Kia,Sorento,2019,5,0
HAK-2355,8857703622709,Vicenta Losada,Mazda,3,2001,4,3
ESE-1375,4509862614320,Reynaldo Aranda Ibáñez,Toyota,RAV4,2023,3,3
EHB-8384,7405531688062,Roberta Plaza Fiol,Mazda,BT-50,2013,3,1
QBI-5298,4947330510895,César Sola Caro,Kia,Rio,2014,0,1
GRM-2206,9415363426643,Isaías Montalbán Tapia,Mazda,6,2022,2,3
GBH-6248,9515858887128,Natividad Ana Garmendia Dávila,Kia,Rio,1995,0,0
IOM-8805,8552130027755,Flora Borrego-Corominas,Kia,Sorento,2001,0,2
ZMV-5154,1351048011905,Alexandra Romeu Solano,Mazda,CX-5,2005,0,3
CJJ-3195,5113587864935,Rosenda Ibañez Almansa,Honda,Fit,1998,2,1
FPN-1154,1147797967722,Amada Somoza Ortiz,Kia,Sportage,2024,2,0
QFD-1417,9753712268571,José Somoza Cabello,Mazda,6,2015,3,1
MQB-9693,7216311428743,Sosimo Rivera Castells,Honda,CR-V,2023,1,1
EKZ-1715,6616570003383,Celso Dimas Llano Echeverría,Mazda,6,1998,5,3
XZK-1345,7059914629907,Teodosio Talavera Porras,Kia,Sportage,2007,0,1
XLA-7576,7176185857801,América Berta Revilla Quiroga,Kia,Rio,2006,2,3
UNO-0479,1870643585148,Leire Aznar,Honda,Civic,2022,1,3
OOE-0400,5173358045089,Dorita Sureda Pujol,Hyundai,Santa Fe,2004,3,0
SJS-6950,9076367290501,Ofelia Manrique Blanes,Hyundai,Tucson,2016,4,2
UXO-1861,2223172712670,Roberto Garcés Almeida,Mazda,3,2019,4,3
KWP-4804,1487601049499,Amando Lucena,Kia,Picanto,2014,5,0
RRS-7864,7010190537225,Dan de Miranda,Hyundai,Santa Fe,2007,5,3
DHT-1272,9296121250944,Severiano Serna,Honda,Fit,2021,5,0
FCO-3023,2426345390928,Agustina Sureda Murcia,Mazda,BT-50,2018,5,3
KOX-5501,7849196336206,Encarnacion de Vaquero,Honda,Fit,2012,5,2
IJD-9708,8364538044433,Anastasio Canales Huertas,Toyota,Hilux,2002,5,0
OLD-1796,6550060098512,Felicidad Carmelita Espada Casals,Honda,Civic,1997,2,0
MMO-1960,5289768732243,Leocadio Leiva Fernández,Kia,Sorento,2018,2,3
UCR-2362,9183863847716,María José Lidia Conde Catalán,Toyota,RAV4,2017,1,1
LWV-3735,4225901578118,Ale Isa Bas Moya,Honda,Accord,2010,1,2
CVG-5388,3285369827734,Graciana Olivares Roldan,Toyota,Yaris,1995,5,1
MKV-6053,8797863613047,Felix Buendía Ángel,Kia,Sportage,2010,1,1
QUI-2799,8582397589677,Salvador Cerdán Vara,Mazda,3,2001,5,2
KPA-8806,6748189957503,Bernardita del Borrell,Hyundai,Elantra,2003,2,1
QYW-9953,1844747168900,Cipriano del Guardia,Kia,Picanto,2013,2,1
OAP-0038,8889954784520,Tecla Berenguer Heredia,Kia,Picanto,2011,1,2
JER-8539,3178605139665,Celia Cid Mayoral,Toyota,Corolla,2014,0,0
BKE-3650,2700638320284,Nadia Baños Soto,Hyundai,Santa Fe,2000,0,1
NXY-9146,2716561508078,Azeneth Vara Navarro,Mazda,6,2020,2,1
NZQ-5950,4466898738046,Leocadia Adriana Ballester Mancebo,Kia,Sorento,2005,1,1
GEU-2212,5123921442746,Marita Clemente Flores,Honda,Accord,2017,5,0
ZMJ-8905,3941645511658,Lope de Domingo,Mazda,3,2014,3,3
QCW-5237,6559814805856,Begoña Ferrán-Arévalo,Hyundai,Santa Fe,2005,1,0
TXR-0424,2040754081414,Amador Robledo-Guillén,Mazda,BT-50,2000,4,3
UMM-2564,6943210884746,Heraclio Balaguer Doménech,Hyundai,Elantra,1999,2,0
DBC-3221,4752045651285,Tania Luján Gimenez,Hyundai,Santa Fe,2002,3,0
BUK-2064,2961757111517,Delia de Raya,Hyundai,Elantra,2017,4,2
RJA-1634,6615396582456,Severiano Cuesta Campillo,Hyundai,Accent,2020,0,1
TJO-9388,2392169140519,Gracia Cepeda Lasa,Mazda,BT-50,2000,1,2
BLB-5252,7723734564079,Crescencia del Aguado,Honda,Accord,2008,2,0
VDQ-7876,7088411468662,Luz Rozas Goñi,Hyundai,Elantra,2024,2,0
LLB-2740,6784319262836,Brígida Anna Ropero Puig,Mazda,BT-50,2004,4,0
XUU-5851,2427396096562,Edelmira de Amores,Hyundai,Elantra,2001,1,1
ZCF-9835,9780032860982,Eli de Rocha,Kia,Rio,2002,1,2
WIR-5836,3728853670149,Juan Antonio Alcalde Requena,Mazda,CX-5,2001,1,1
CDX-3657,2040812904521,Marciano Roura Silva,Kia,Sorento,2009,0,0
OOE-4214,7824711437997,Tadeo Isern Rey,Honda,Fit,2002,0,3
DWC-2127,4904296643595,Jesusa del Palacio,Mazda,6,2010,0,0
MCU-1108,1613509545333,Manuel del Antúnez,Honda,Fit,1995,3,1
WLF-0047,4216484521427,Alondra Talavera Porta,Kia,Sorento,2004,5,0
WXK-3237,8417599416149,Flavia Sacristán Cantón,Kia,Sorento,1999,3,3
GGZ-3568,2187445992565,Nando Izaguirre Jurado,Hyundai,Elantra,1996,3,2
BZP-0202,1788548621555,Josué Quintero-Torrecilla,Honda,Fit,2018,5,3
NAI-6436,1302654933424,Félix Benito Torrents,Toyota,Yaris,2005,1,1
PSV-0195,7554899762597,Águeda de Canet,Hyundai,Santa Fe,1997,4,2
JYB-6879,2673758986926,Roldán Martí,Mazda,6,2011,2,1
UMX-1295,6642407341892,América Hervia Salinas,Hyundai,Accent,2019,4,1
WXJ-9798,5054394942257,Sabas del Giner,Mazda,BT-50,1997,0,1
INE-2375,3905366847803,Miriam Aguado Isern,Mazda,BT-50,1998,3,1
BJF-5085,6991496222976,María Belén Sáenz Barco,Toyota,Hilux,2003,1,3
IUG-1067,8551947827252,Irene Murillo,Mazda,BT-50,1995,2,2
TWB-6268,4828681720747,Noé Antúnez Alberdi,Hyundai,Tucson,2005,0,1
AAG-9081,1536706313039,Jacinta Alberdi González,Hyundai,Santa Fe,2013,5,2
UXV-7703,9943419529934,Nacio Báez-Heras,Mazda,3,2017,4,2
PQA-8663,2235952808113,Mamen Sánchez Amigó,Honda,Accord,2019,5,3
CYC-8551,7573913984936,Anunciación de Caparrós,Mazda,3,2007,2,0
NHH-8353,1722646831471,Ariel del Villena,Toyota,Corolla,2020,3,3
CNU-2096,8764354481357,Amancio Ángel Pinto,Kia,Rio,2007,4,0
VVH-3557,1053438528965,Visitación Arjona Quero,Toyota,RAV4,2019,0,2
URQ-8462,2579090023235,Eugenia de Bou,Hyundai,Elantra,2003,1,2
ZGA-8709,4508434459028,Elena del Mas,Mazda,BT-50,1996,5,3
QZX-4863,9183337442147,Magdalena Revilla Belda,Kia,Rio,1997,0,0
SWW-1673,8589566670319,Armando Castelló,Kia,Sorento,2007,4,2
VNW-5548,4106533204588,Carlota Pont,Mazda,BT-50,2002,0,0
DJV-5471,5468126555040,Toribio Dani Mosquera Luján,Hyundai,Tucson,2021,3,2
EBV-6975,7202112794333,Chuy Arias,Kia,Sportage,2008,3,2
YDQ-0915,1644840555428,Cirino Tomás Hernando,Kia,Sportage,2022,2,0
DUN-7801,6886746683607,Vera Salcedo-Matas,Toyota,Hilux,2013,3,3
LKY-3031,8451708126864,Tere Comas-Galán,Kia,Sorento,2005,2,3
APQ-6907,5125662472128,Celestina Almagro Palomar,Hyundai,Accent,2011,2,0
JGZ-9709,9968617847172,Paz Tenorio Quero,Honda,Fit,1998,2,1
YSD-9018,9746662175555,Patricia Ordóñez Lumbreras,Toyota,Corolla,2000,3,2
ENK-5296,5104761386354,Jose Antonio Bayo,Mazda,3,2008,2,1
EBP-5173,2555275404040,Florinda Cisneros,Kia,Rio,1998,3,1
ZMK-1351,5021064249602,Chus Pascual Gálvez Torre,Toyota,Corolla,2005,0,3
ZQR-7076,9411359872794,Esmeralda Cañete Lastra,Kia,Sorento,2011,0,0
LMM-9883,9298981581776,Melchor Duarte Cisneros,Mazda,3,2014,5,3
QZB-0639,7131461530452,Lalo Pi Bayona,Mazda,CX-5,2014,3,0
DUK-3588,8707314508699,Renato Adadia Neira,Mazda,3,2017,0,2
BEI-2520,9721380071350,Domitila Casares Reina,Hyundai,Tucson,2001,0,3
JQX-5116,5972768862108,Severino Serrano Arroyo,Toyota,Yaris,2017,5,3
YSU-2405,3099387881417,Chucho Ernesto Cuenca Pulido,Toyota,Yaris,2006,3,2
SVG-8547,7856864523421,Clemente Valverde Menendez,Honda,Civic,2004,5,3
FKK-0249,4725676161500,Margarita Casanova Larrañaga,Kia,Sorento,2012,0,0
CLP-1652,2904095290247,Jose Ramón Otero Caro,Toyota,Yaris,1997,0,1
OSI-6432,9802771548898,Wilfredo Casal Piquer,Toyota,RAV4,2017,4,0
DFI-0369,2450095858279,Candelario Gaya Anglada,Honda,CR-V,2001,4,2
BKJ-9574,4818366053828,Agustín Tomás Pinto,Kia,Sportage,1997,4,1
LML-8239,1571345530777,Remedios de Carpio,Toyota,Corolla,2000,1,1
HXD-0374,4397964892553,Nieves Morata,Toyota,Yaris,2002,5,0
LZC-5856,4193445454566,Galo Pulido Baena,Mazda,6,2024,1,0
SXU-5766,6086617483709,Xavier Olivé-Chaves,Hyundai,Tucson,1998,5,2
VNA-2102,1958972582801,Salvador Guijarro Almazán,Mazda,BT-50,2017,0,2
GRV-8261,1835058688170,Ezequiel de Samper,Kia,Sportage,2005,1,1
AMR-3359,9039289978659,Natalia Ricarda Márquez Arnal,Mazda,BT-50,2016,3,0
NOR-7122,1592846698993,Coral Leonor Catalá Bueno,Kia,Sportage,1995,0,3
TFE-9908,3931767379307,Glauco Olegario Quintana Vallés,Hyundai,Tucson,2007,4,0
OOD-1450,2239144602438,Cesar Calvet Alsina,Toyota,Corolla,2009,4,2
CYB-7271,9338107590027,Juan Francisco Casemiro Barragán Mayo,Hyundai,Accent,2021,1,2
TSC-7154,8716864145496,Eliana Garmendia Morata,Hyundai,Tucson,2015,3,0
YWT-3356,1846260477777,Juan Bautista Mínguez Cañellas,Kia,Picanto,1999,3,0
FPY-0223,5936606004428,Vicenta Arellano Barón,Mazda,BT-50,2023,2,1
UUN-4335,9401313890647,Josep Larrañaga,Toyota,Corolla,2015,3,0
CJL-1357,1692520415512,Piedad Botella Soler,Mazda,CX-5,2003,5,3
XDH-3560,4294973613032,Ángeles Roxana Cobos Ripoll,Kia,Rio,1996,1,1
ZAY-2650,4357591033974,Maximiano Melero Piñol,Mazda,BT-50,2003,3,2
SFN-3522,7426312299817,Basilio Vergara Verdejo,Hyundai,Tucson,2012,2,3
DHC-5034,3278195060895,Dionisio Ortega-Marí,Hyundai,Santa Fe,2022,5,0
IJE-8917,5674037252693,Cecilio del Villanueva,Hyundai,Elantra,2020,0,0
LEP-1938,5257937921412,Luis Ángel Téllez Ramírez,Toyota,Yaris,2009,2,3
NKJ-6474,5219084237932,Flavia Osorio-Donaire,Hyundai,Santa Fe,2018,0,2
JSE-1575,5643842678047,Concha Sastre Páez,Toyota,Hilux,2004,5,3
ZIK-5109,1350987728106,Pepita de Falcó,Kia,Sorento,2002,4,0
ZTF-7929,7100019887689,Lupe Baeza Anaya,Mazda,BT-50,2022,2,3
ANA-2014,5839423524977,Alberto Trillo-Velázquez,Hyundai,Tucson,1995,3,0
UQJ-9496,5888854636330,Heraclio Bermejo Reina,Hyundai,Tucson,2022,1,1
VYO-7841,2525583904923,Rosalina Bellido Zaragoza,Hyundai,Tucson,2004,0,2
